Date,Mkt-RF,SMB,HML,RF,AppleR,MsftR,GoogleR,AmazR,NvdiaR,AppleR - RF,MsftR - RF,GoogleR - RF,AmazR - RF,NvdiaR - RF
20231130,0.35,-0.45,0.01,0.021,0.0031,0.0002,-0.0182,-0.0016,-0.0285,-0.0179,-0.0208,-0.0392,-0.0226,-0.0495
20231129,0.01,0.44,0.69,0.021,-0.0054,-0.0101,-0.0161,-0.0048,0.0067,-0.0264,-0.0311,-0.0371,-0.0258,-0.0143
20231128,0.06,-0.29,0.05,0.021,0.0032,0.0108,0.0058,-0.0047,-0.0087,-0.0178,-0.0102,-0.0152,-0.0257,-0.0297
20231127,-0.23,-0.11,-0.08,0.021,-0.0009,0.0031,-0.002,0.0067,0.0098,-0.0219,-0.0179,-0.023,-0.0143,-0.0112
20231124,0.11,0.59,0.19,0.021,-0.007,-0.0011,-0.013,0.0002,-0.0193,-0.028,-0.0221,-0.034,-0.0208,-0.0403
20231122,0.42,0.21,-0.05,0.021,0.0035,0.0128,0.0111,0.0195,-0.0246,-0.0175,-0.0082,-0.0099,-0.0015,-0.0456
20231121,-0.32,-0.79,-0.61,0.021,-0.0042,-0.0116,0.0053,-0.0153,-0.0092,-0.0252,-0.0326,-0.0157,-0.0363,-0.0302
20231120,0.73,0,-0.28,0.021,0.0093,0.0205,0.0069,0.0065,0.0225,-0.0117,-0.0005,-0.0141,-0.0145,0.0015
20231117,0.25,0.99,0.62,0.021,-0.0001,-0.0168,-0.0118,0.0165,-0.0037,-0.0211,-0.0378,-0.0328,-0.0045,-0.0247
20231116,-0.11,-1.4,-0.31,0.021,0.009,0.0176,0.0172,-0.0026,0.0121,-0.012,-0.0034,-0.0038,-0.0236,-0.0089
20231115,0.18,-0.04,0.49,0.021,0.003,-0.0016,0.0075,-0.0178,-0.0155,-0.018,-0.0226,-0.0135,-0.0388,-0.0365
20231114,2.18,2.99,1.18,0.021,0.0143,0.0098,0.0116,0.0225,0.0213,-0.0067,-0.0112,-0.0094,0.0015,0.0003
20231113,-0.05,0.15,-0.27,0.021,-0.0086,-0.0081,-0.0038,-0.0068,0.0059,-0.0296,-0.0291,-0.0248,-0.0278,-0.0151
20231110,1.49,-0.57,-0.44,0.021,0.0219,0.0249,0.018,0.0211,0.0295,0.0009,0.0039,-0.003,0.0001,0.0085
20231109,-0.89,-1.08,0.49,0.021,-0.0026,-0.0069,-0.0121,-0.0104,0.0081,-0.0236,-0.0279,-0.0331,-0.0314,-0.0129
20231108,-0.04,-0.82,-0.44,0.021,0.0059,0.0074,0.0066,-0.0044,0.0135,-0.0151,-0.0136,-0.0144,-0.0254,-0.0075
20231107,0.35,-0.02,-1.21,0.021,0.0145,0.0112,0.0055,0.0213,0.0045,-0.0065,-0.0098,-0.0155,0.0003,-0.0165
20231106,0.01,-1.06,-0.65,0.021,0.0146,0.0106,0.0089,0.0082,0.0166,-0.0064,-0.0104,-0.0121,-0.0128,-0.0044
20231103,1.1,1.61,0.59,0.021,-0.0052,0.0129,0.0126,0.0038,0.0345,-0.0262,-0.0081,-0.0084,-0.0172,0.0135
20231102,1.95,0.48,1.64,0.021,0.0207,0.0065,0.0082,0.0078,0.0279,-0.0003,-0.0145,-0.0128,-0.0132,0.0069
20231101,0.93,-0.63,-0.03,0.021,0.0187,0.0235,0.0191,0.0294,0.0379,-0.0023,0.0025,-0.0019,0.0084,0.0169
20231031,0.63,0.05,-0.08,0.021,0.0028,0.0024,-0.0031,0.0029,-0.0093,-0.0182,-0.0186,-0.0241,-0.0181,-0.0303
20231030,1.15,-0.39,0.28,0.021,0.0123,0.0227,0.0187,0.0389,0.0163,-0.0087,0.0017,-0.0023,0.0179,-0.0047
20231027,-0.53,-0.35,-0.57,0.021,0.008,0.0059,-0.0009,0.0683,0.0043,-0.013,-0.0151,-0.0219,0.0473,-0.0167
20231026,-1.15,0.85,1.66,0.021,-0.0246,-0.0375,-0.0265,-0.015,-0.0348,-0.0456,-0.0585,-0.0475,-0.036,-0.0558
20231025,-1.58,-0.3,0.84,0.021,-0.0135,0.0307,-0.0951,-0.0558,-0.0431,-0.0345,0.0097,-0.1161,-0.0768,-0.0641
20231024,0.71,0.25,-0.58,0.021,0.0025,0.0037,0.0169,0.0158,0.016,-0.0185,-0.0173,-0.0041,-0.0052,-0.005
20231023,-0.23,-0.26,-0.78,0.021,0.0007,0.0081,0.0066,0.0111,0.0384,-0.0203,-0.0129,-0.0144,-0.0099,0.0174
20231020,-1.32,0.06,-0.15,0.021,-0.0147,-0.014,-0.0156,-0.0252,-0.017,-0.0357,-0.035,-0.0366,-0.0462,-0.038
20231019,-0.92,-0.5,-0.22,0.021,-0.0022,0.0037,-0.0015,0.0021,-0.0023,-0.0232,-0.0173,-0.0225,-0.0189,-0.0233
20231018,-1.47,-0.63,-0.17,0.021,-0.0074,-0.0059,-0.0126,-0.0254,-0.0396,-0.0284,-0.0269,-0.0336,-0.0464,-0.0606
20231017,0.09,0.88,0.7,0.021,-0.0088,-0.0017,0.0045,-0.0081,-0.0468,-0.0298,-0.0227,-0.0165,-0.0291,-0.0678
20231016,1.14,0.61,-0.09,0.021,-0.0007,0.015,0.0126,0.0213,0.0139,-0.0217,-0.006,-0.0084,0.0003,-0.0071
20231013,-0.59,-0.47,0.06,0.021,-0.0103,-0.0104,-0.0116,-0.0192,-0.0316,-0.0313,-0.0314,-0.0326,-0.0402,-0.0526
20231012,-0.81,-1.47,0.12,0.021,0.0051,-0.0038,-0.0112,0.0038,0.003,-0.0159,-0.0248,-0.0322,-0.0172,-0.018
20231011,0.32,-0.67,0.39,0.021,0.0079,0.0123,0.018,0.0181,0.022,-0.0131,-0.0087,-0.003,-0.0029,0.001
